"date","plan","mrr"
2017-02-18,"respond",8366.575
2017-02-17,"business",544094.9992
2017-02-17,"respond",8366.575
2017-02-17,"awesome",567198.24
2017-02-16,"awesome",566746.32
2017-02-16,"business",543481.9893
2017-02-16,"respond",8256.575
2017-02-15,"awesome",566248.09
2017-02-15,"business",543267.6563
2017-02-15,"respond",8275.575
2017-02-14,"respond",8077.575
2017-02-14,"awesome",565321.7
2017-02-14,"business",541651.9999
2017-02-13,"respond",8077.575
2017-02-13,"business",539911.1669
2017-02-13,"awesome",564642.34
2017-02-12,"awesome",564930.35
2017-02-12,"respond",8077.575
2017-02-12,"business",540564.8334
2017-02-11,"respond",8226.575
2017-02-11,"awesome",565131.67
2017-02-11,"business",541010.51
2017-02-10,"business",540846.1865
2017-02-10,"awesome",564696.07
2017-02-10,"respond",8207.075
2017-02-09,"respond",8556.075
2017-02-09,"business",540285.8632
2017-02-09,"awesome",564065.2
2017-02-08,"respond",8556.075
2017-02-08,"business",539259.0302
2017-02-08,"awesome",563500.19
2017-02-07,"awesome",562317.76
2017-02-07,"business",538166.6137
2017-02-07,"respond",8556.075
2017-02-06,"respond",8556.075
2017-02-06,"awesome",561375.2
2017-02-06,"business",536321.1037
2017-02-05,"business",536542.6038
2017-02-05,"respond",8556.075
2017-02-05,"awesome",561333.95
2017-02-04,"business",537468.8539
2017-02-04,"respond",8556.075
2017-02-04,"awesome",561613.52
2017-02-03,"business",536263.7809
2017-02-03,"respond",8486.075
2017-02-03,"awesome",560926.16
2017-02-02,"respond",8427.075
2017-02-02,"awesome",560133.39
2017-02-02,"business",533683.2077
2017-02-01,"business",533162.1346
2017-02-01,"respond",8427.075
2017-02-01,"awesome",559426.98
2017-01-31,"business",532237.9681
2017-01-31,"respond",8398.075
2017-01-31,"awesome",557957.43
2017-01-30,"respond",8448.065
2017-01-30,"awesome",557050.9
2017-01-30,"business",530627.0617
2017-01-29,"respond",8448.065
2017-01-29,"business",530609.0619
2017-01-29,"awesome",557303.47
2017-01-28,"business",531628.5719
2017-01-28,"respond",8477.065
2017-01-28,"awesome",557654.08
2017-01-27,"respond",8555.065
2017-01-27,"business",530970.9887
2017-01-27,"awesome",557147.8
2017-01-26,"respond",8546.065
2017-01-26,"awesome",556424.02
2017-01-26,"business",532995.2388
2017-01-25,"business",532415.4256
2017-01-25,"respond",8236.065
2017-01-25,"awesome",554909.88
2017-01-24,"awesome",553890.18
2017-01-24,"respond",7557.065
2017-01-24,"business",530517.9158
2017-01-23,"awesome",552772.62
2017-01-23,"respond",7208.065
2017-01-23,"business",529060.926
2017-01-22,"business",529573.916
2017-01-22,"awesome",552936.71
2017-01-22,"respond",6859.065
2017-01-21,"awesome",552941.99
2017-01-21,"respond",6859.065
2017-01-21,"business",530064.0926
2017-01-20,"respond",6859.065
2017-01-20,"business",529967.406
2017-01-20,"awesome",552652.32
2017-01-19,"awesome",551922.17
2017-01-19,"respond",6510.065
2017-01-19,"business",529822.3228
2017-01-18,"respond",6510.065
2017-01-18,"awesome",551139.75
2017-01-18,"business",528580.0833
2017-01-17,"respond",6510.065
2017-01-17,"business",525925.74
2017-01-17,"awesome",550368.34
2017-01-16,"respond",6471.065
2017-01-16,"awesome",549589.68
2017-01-16,"business",525869.1569
2017-01-15,"business",525031.3235
2017-01-15,"awesome",549538.62
2017-01-15,"respond",6471.065
2017-01-14,"business",526623.8968
2017-01-14,"respond",6471.065
2017-01-14,"awesome",549683.61
2017-01-13,"awesome",548940.72
2017-01-13,"respond",6452.065
2017-01-13,"business",525695.4605
2017-01-12,"awesome",548115.53
2017-01-12,"respond",6452.065
2017-01-12,"business",525764.304
2017-01-11,"awesome",547544.38
2017-01-11,"respond",6452.065
2017-01-11,"business",524329.2944
2017-01-10,"respond",6701.065
2017-01-10,"business",523141.398
2017-01-10,"awesome",546890.58
2017-01-09,"business",523204.0446
2017-01-09,"respond",6701.065
2017-01-09,"awesome",545879.13
2017-01-08,"awesome",545929.14
2017-01-08,"respond",6701.065
2017-01-08,"business",524365.4514
2017-01-07,"business",525525.035
2017-01-07,"awesome",545990.37
2017-01-07,"respond",6701.065
2017-01-06,"business",525761.442
2017-01-06,"respond",6710.065
2017-01-06,"awesome",545559.35
2017-01-05,"respond",6710.065
2017-01-05,"business",524663.6187
2017-01-05,"awesome",545188.99
2017-01-04,"respond",6760.055
2017-01-04,"awesome",544623.6
